filename,clip clap algo caption,human caption
images (4).jpeg,A man in a black hoodie spray paints graffiti on the wall.,hooded person is spraypainting on a wall full of graffiti
images (40).jpeg,A person is spraying paint on wall.,person spray painting on a wall
images (41).jpeg,A woman in a bandana and jeans spray paints graffiti on the graffiti wall.,woman spray painting on a wall full of graffiti
images (44).jpeg,people spraying graffitti on the wall of a building.,two people with backpacks kicking a building's window that has lots of graffiti
images (46).jpeg,A man hits a police car with a stick as others hang around in a protest.,three masked people attack a police car with a stick and their hands and legs
images (47).jpeg,Angry woman about to throw a stone to break a glass paneled door.,woman throwing a rock at a door window
images (5).jpeg,A person is spraying paint on the drawing on wall.,kneeling man spraypainting graffiti on a wall
images (6).jpeg,A person paints a skull on the wall of a building.,man is spray painting a skull onto a wall
images (8).jpeg,One person is in a black hoodie and the other person is in a grey hoodie.,person in hat writing on wall while another person walks past
images2.jpeg,A hoody person is spraying paint on the wall.,hooded figure crouching and spray painting a skull onto a wall
Image_1.jpeg,People are fighting in the street during the day.,three men fighting each other
Image_10.jpeg,Two men are fighting in front of a crowd at night in a parking lot.,two men fighting in a crowd
Image_13.jpeg,People are standing on the beach near the ocean.,people fighting in the beach
Image_14.jpeg,Group of persons are fighting among them.,a person attempts to hit two person 
Image_15.jpeg,people rioting on the street during the day.,some people fighting each other in a crowd
Image_17.jpeg,A man breaks a glass window of a building as rioters look on.,a person is destroying things in a crowd
Image_19.jpeg,"In the street, a person is punching on the face of another person.",two men fighting each other near a shop
Image_2.jpeg,Two men are fighting on the street near a white pick-up truck.,"two men fighting, and a woman nearby watching them"
Image_20.png,People are fighting on the street and others are watching it on their phones.,some people fighting in the road
Image_21.jpeg,Two persons are fighting in the middle of the street.,one person hitting other person in a crowd
Image_22.jpeg,A group of shirtless men fight on the beach.,a person attempts to hit ther person in the beach with a long stick
Image_23.jpeg,A person is punching on the face of another person.,a person beating badly other person in a crowd
Image_26.jpeg,Two women wearing black tops fighting in front of a crowd.,two women slapping each others face in a crowd
Image_28.jpeg,Two people are fighting each other on the street during the day.,a person hitting other person in a crowd
Image_29.jpeg,People are fighting on the street and cars are parked on the side of the road.,some people fighting in the road
Image_3.jpeg,people are beating a person who is on the ground on the sidewalk.,two men beating a third person
Image_32.jpeg,Two women are fighting each other in front of a crowd.,two women hitting their face each other in a crowd
Image_33.png,A person is physically assaulting another person on a sidewalk.,a person hitting other person 
Image_34.jpeg,Two men fight on the sidewalk as people watch.,two person fighting each other in the market while other people watching them
Image_35.jpeg,People are fighting on the sidewalk outside of a building.,a person attempts to loot from a shop/bank
Image_39.jpeg,a man is fighting in the parking lot of a grocery store.,two person fighting each other in the road
Image_4.jpeg,Two women are fighting in front of a crowd.,two men fighting each other
Image_40.jpeg,Two men fight with baseball fights as onlookers watch.,two person fighting each other with rods in their hands in the crowd
Image_5.jpeg,Two young men are fighting in front of a group of onlookers.,two men hitting each other in a crowd
Image_8.jpeg,A person is sitting on the stairs and another person is hitting him.,a man slapping other man sitting in stairs
Image_9.jpeg,A group of people are fighting on the street outside.,three person beating a person in the middle
maxresdefault.jpeg,A person in a red hoodie points a gun at a car parked on the curb.,hooded man pointing a gun across the street to an approaching car
maxresdefault1.jpeg,A man wearing a black hoodie points a gun out in front of him in a building.,man pointing his pistol straight at an unkown object
queens-shooting-02-ap-jef-210801_1627843581558_hpEmbed_16x9_992.jpeg,person shooting on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera,hooded figure running down an alley with a gun pointed straight at an unknown subject
Screen-Shot-2021-06-21-at-10.51.43-PM-1200x675.jpeg,A person in a black hoodie points a gun at a car on the street.,hooded figure pointing a gun at a car
Unknown3.jpeg,Two men kneel down in front of a door as if trying to break in.,two people kneeling outside locked doors trying to break in
Unknown4.jpeg,an art drawing on the side wall of a building.,two people spray painting on the side of a building
