,filename,caption
117,Image_58.jpeg,A crowd of people push each other while trying to buy elmo toys.
118,Image_59.jpeg,A girl thrashing another girl on the hall way.
119,Image_6.jpeg,A man pushes a crying woman against a wall.
120,Image_60.jpeg,A girl thrashing another girl on the hall way.
121,Image_61.jpeg,Someone is hitting another person on the side of the street.
122,Image_62.jpeg,Someone is hitting another person on the side of the street.
123,Image_63.jpeg,Two persons are ready to fight withe each other on the street.
124,Image_64.jpeg,Two sets of persons are fighting on the street.
125,Image_65.jpeg,People are fighting on the aisle of a grocery store.
126,Image_66.jpeg,A group of people are fighting on the street outside.
127,Image_67.png,A group of men grapple each other in front of a crowd.
128,Image_68.jpeg,Two women are fighting near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wooded area near a wood
129,Image_70.jpeg,a woman is trying to defend herself as a man is trying to hit her.
130,Image_73.jpeg,A shirtless man throws a punch at another man dressed in grey as onlookers watch.
131,Image_74.jpeg,A bald man is on the ground on his back as another man slaps him on the back.
132,Image_75.jpeg,A group of people fighting on the street near a car.
133,Image_78.jpeg,A man in white shirt punches another person who is shirtless on the street.
134,Image_79.jpeg,A man grabbing another man by the neck as another man looks on.
135,Image_8.jpeg,A person is sitting on the stairs and another person is hitting him.
136,Image_80.jpeg,Two men are fighting each other in the streets during the day.
137,Image_81.jpeg,Cops are trying to separate people who are fighting outside of a building.
138,Image_82.jpeg,People are attacking others during an attack in a hospital hallway.
139,Image_83.jpeg,girls fighting each other in front of a crowd.
140,Image_84.jpeg,A boy is punching on the face of another boy.
141,Image_85.jpeg,A man in white shirt punches another man on the side of the street.
142,Image_86.jpeg,A crowd watching as two women fight in the dirt.
143,Image_87.jpeg,People are fighting on the street during a fight on the street.
144,Image_88.jpeg,People watch as a few people fight on the street.
145,Image_89.jpeg,A woman kneels down and fights another woman on the street.
146,Image_9.jpeg,A group of people are fighting on the street outside.
147,Image_90.jpeg,Two people are fighting in the aisle of a grocery store.
148,Image_91.jpeg,two kids are hitting each other; one is hitting a girl; the other is hitting a boy.
149,Image_92.jpeg,People are fighting on the street.
150,Image_93.jpeg,A lady hits a man who did some damage to a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of a statue of
151,Image_94.jpeg,A man lies on the ground while a shirtless man approaches him in a fight stance.
152,Image_95.jpeg,Two men wearing boxing gloves fight on the street while people watch.
153,Image_96.jpeg,A person is looking at something on an elevator.
154,Image_97.jpeg,A man attacks a woman inside an elevator.
155,Image_98.jpeg,People are struggling with each other in front of a mirror.
156,Image_99.jpeg,A woman is lying on the stairway of a building.
157,man-shot-over-parking-space.jpeg,A man dressed in black approaches two men standing by a silver pick up truck.
158,maxresdefault.jpeg,A person in a red hoodie points a gun at a car parked on the curb.
159,maxresdefault1.jpeg,A man wearing a black hoodie points a gun out in front of him in a building.
160,maxresdefault2.jpeg,"By speaking on his mobile phone, a person is pointing a short gun."
161,queens-shooting-02-ap-jef-210801_1627843581558_hpEmbed_16x9_992.jpeg,person shooting on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera on cctv camera
162,Screen-Shot-2021-06-21-at-10.51.43-PM-1200x675.jpeg,A person in a black hoodie points a gun at a car on the street.
163,securitycamcapturesvandal.jpeg,Two men are spray painting graffiti on a wall in a building.
164,Seelampur-Police.jpeg,People are attacking a vehicle on the street with weapons.
165,shoot-out-in-D.C..jpg,A person is shooting a gun in front of a street full of cars.
166,shooting-suspect-3-1557755172.png,A person is holding a gun out in front of him in a building.
167,Shooting3.jpeg,A person in a black hoodie points a gun out in front of him in a parking lot.
168,Unknown.jpeg,A man in a black hoodie spray paints graffiti on the wall.
169,Unknown2.jpeg,A man in black shirt uses a fire extinguisher in an office.
170,Unknown3.jpeg,Two men kneel down in front of a door as if trying to break in.
171,Unknown4.jpeg,an art drawing on the side wall of a building.
172,vandalism_graffiti.jpeg,A hoody person is spraying paint on the wall.
173,waco-shooting.jpeg,Gang shooting in a restaurant.
174,WacoShootoutGun2.png,Men with guns walk around the tables in a restaurant.
175,Walmart-shooting-Pa-July-5-2018-600-600x392.jpeg,People are diving to the floor as another person looks on.
176,window1.jpeg,A few men hang out near a fence in a dark alley area at night.
